Time,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8,Chan9,Chan10,Chan11,Chan12,Chan13,Chan14,Chan15,Chan16,Chan17,Chan18,Chan19,Chan20,Chan21,Chan22,Chan23,Chan24,Chan25,Chan26,Chan27,Chan28,Chan29,Chan30,Chan31,Chan32,Chan33
0.05800,-0.12237,-0.08351,0.10481,-0.06198,-0.07304,0.12039,-0.41062,0.07573,-0.27251,-0.09573,0.22153,0.33780,-0.42831,0.40414,-1.99620,-0.21406,2.49608,-0.56845,1.05295,-0.63168,-0.07351,1.08690,1.38534,4.78132,0.37916,-0.91353,0.37485,-0.07522,-0.77840,0.57217,-0.67385,-0.14126,-0.60965
0.06000,-0.15452,-0.08823,0.04091,-0.06689,0.03417,0.04972,-0.20450,0.03396,0.07872,-0.30301,0.07150,0.28389,0.83935,-0.22098,-1.62384,-0.51573,1.57298,1.56930,0.10917,-0.27078,0.88928,-1.20000,1.56062,0.07948,-0.14088,-0.69388,-0.41854,0.16395,-0.18310,0.28458,0.07609,-0.53179,-0.02311
0.06200,-0.58629,-0.16702,-0.13535,-0.07962,0.00844,-0.13730,0.09335,0.00838,0.12915,-0.34499,0.12188,-0.41310,1.22983,-0.57631,-0.64104,-0.53853,-1.49609,3.47825,-0.22334,-0.13679,0.53580,0.35617,5.42855,0.31942,-0.76002,-0.08806,-0.78252,-0.39753,0.49425,0.14876,0.29576,-0.22830,-0.35812
0.06400,-0.46107,0.13348,-0.27835,-0.08233,-0.01376,-0.13335,0.11702,-0.63810,-0.00802,-0.07585,0.14039,0.10654,0.62490,-0.63754,-0.04186,-0.53836,-0.61684,2.43065,-0.86455,-0.00474,0.45305,1.17319,4.69669,-0.03522,-1.02980,0.27914,-0.76301,-0.43426,0.55514,-1.44173,0.08402,-0.62282,-0.49230
0.06600,0.05143,0.02095,-0.31147,0.08155,-0.01462,-0.00153,0.08506,-0.00431,-0.30099,-0.13317,0.12641,0.15449,0.17104,-0.43083,-1.26147,0.03521,1.46528,0.29803,0.98629,-0.40575,-0.83915,1.35591,-0.41221,-0.32216,-0.84003,-0.48148,-0.20104,-0.30640,0.42815,0.35191,-0.77208,-0.06910,-0.51515
0.06800,0.02877,-0.04312,-0.26011,0.03703,-0.02786,0.12241,0.06512,0.09086,-0.38525,-0.25109,0.25955,0.43522,0.00343,0.02258,-2.15420,-0.67902,3.10062,-0.49298,1.50348,-0.72562,0.24468,4.83279,-0.28847,-0.87638,-0.24454,-1.19443,0.06423,-0.14954,0.33039,0.60326,-0.94436,-0.35470,-1.48572
0.07000,0.03673,-0.07255,-0.19906,0.02507,0.06927,0.07144,-0.82234,0.00733,-0.08826,-0.28764,0.27290,0.24904,0.00119,0.28966,-2.22682,-0.41870,2.30544,-0.46778,0.08681,-0.53259,0.82918,4.13118,-0.44570,-1.15146,0.13554,-1.28873,-0.06931,0.06009,-1.35275,0.24963,-0.41856,-0.47838,-1.34297
0.07200,0.04116,-0.06752,0.04129,-0.00705,0.06485,-0.02874,0.01819,-0.49432,0.08165,-0.27450,-0.42320,-0.16986,0.06909,-0.60282,-0.93810,-0.23111,0.62339,2.38259,-2.23863,0.17360,0.97286,-0.16611,-0.49936,-0.98062,-0.58218,-0.56699,-0.56625,0.30437,0.34999,-1.08310,0.18512,-0.51582,0.66046
0.07400,0.08967,-0.03589,-0.21477,0.09566,0.00116,-0.06603,0.12938,-0.75268,-0.05204,-0.29124,-0.31542,-0.14097,0.22097,-0.82683,0.32868,-0.29641,-0.13573,3.27836,-2.37154,0.06728,2.88531,0.06204,-0.92688,-0.42334,-1.37637,0.45487,-0.99168,0.32753,0.60282,-1.68369,-0.09039,-1.36718,1.40079
0.07600,0.11853,-0.00559,-0.32518,0.19287,0.00056,-0.28985,0.06451,-0.16910,-0.13428,-0.38680,-0.41053,0.03599,0.31108,-0.77525,-0.46567,0.12531,-0.38734,0.30829,-1.77920,0.00113,2.62273,-0.25493,-1.15921,-0.07127,-1.50639,0.10239,-0.56866,-0.63903,0.43869,0.05721,-0.22692,-1.25409,-0.04865
